,,Bloomberg Ticker,N/A (index product),CRCL US,MU US,IVV US,EXOD US,TSLA US,NVDA US,SPY US,CRCL US,QQQ US,NVDA US,MRVL US,SPY US,HIMS US,SPCX US,QQQ US,MSTR US,GOOGL US,TSLA US,GOOGL US,FGRS US,FORD US,,,INTC US,PDD US,CURR US,ASML US,TSM US,SOFI US,MSTR US,AAPL US,ITOT US,MSFT US,EFA US,ARM US,SPCX US,IEMG US,TSM US,AMD US,IWF US,ORCL US,SOXX US,EEM US,SNDK US,TQQQ US,COIN US,META US,AVGO US,AMZN US,N/A,,,CRCL US,MU US,IVV US,EXOD US,TSLA US,NVDA US,SPY US,CRCL US,QQQ US,NVDA US,MRVL US,SPY US,HIMS US,SPCX US,QQQ US,MSTR US,GOOGL US,TSLA US,GOOGL US,FGRS US,FORD US,0,0,INTC US,PDD US,CURR US,ASML US,TSM US,SOFI US,MSTR US,AAPL US,ITOT US,MSFT US,EFA US,ARM US,SPCX US,IEMG US,TSM US,AMD US,IWF US,ORCL US,SOXX US,EEM US,SNDK US,TQQQ US,COIN US,META US,AVGO US,AMZN US
Timestamp,Date,Measure,Strategy PP Variable xStock,Circle Internet Group (Ondo Tokenized),Micron Technology (Ondo Tokenized),iShares Core S&P 500 ETF (Ondo Tokenized),Exodus Movement,Tesla xStock,NVIDIA (Ondo Tokenized),SPDR S&P 500 ETF (Ondo Tokenized),Circle xStock,Invesco QQQ (Ondo Tokenized),NVIDIA xStock,Marvell Technology (Ondo Tokenized),SP500 xStock,Hims & Hers Health (Ondo Tokenized),SpaceX xStock,Nasdaq xStock,MicroStrategy xStock,Alphabet Class A (Ondo Tokenized),Tesla (Ondo Tokenized),Alphabet xStock,FGRS,Forward Industries Inc.,WisdomTree 500 Digital Fund,iShares Core MSCI EAFE ETF (Ondo Tokenized),Intel (Ondo Tokenized),PDD Holdings (Ondo Tokenized),CURRENC Group Inc.,ASML xStock,TSMC xStock,SoFi Technologies (Ondo Tokenized),MicroStrategy (Ondo Tokenized),Apple (Ondo Tokenized),iShares Core S&P Total US Stock Market ETF (Ondo Tokenized),Microsoft (Ondo Tokenized),iShares MSCI EAFE ETF (Ondo Tokenized),Arm Holdings plc (Ondo Tokenized),SpaceX (Ondo Tokenized),iShares Core MSCI Emerging Markets ETF (Ondo Tokenized),Taiwan Semiconductor Manufacturing (Ondo Tokenized),AMD (Ondo Tokenized),iShares Russell 1000 Growth ETF (Ondo Tokenized),Oracle (Ondo Tokenized),iShares Semiconductor ETF (Ondo Tokenized),iShares MSCI Emerging Markets ETF (Ondo Tokenized),SanDisk (Ondo Tokenized),ProShares UltraPro QQQ (Ondo Tokenized),Coinbase (Ondo Tokenized),Meta Platforms (Ondo Tokenized),Broadcom (Ondo Tokenized),Amazon (Ondo Tokenized),All Others (483 Items),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67253E+12,01-01-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67262E+12,02-01-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6727E+12,03-01-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67279E+12,04-01-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67288E+12,05-01-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67296E+12,06-01-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67305E+12,07-01-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67314E+12,08-01-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67322E+12,09-01-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67331E+12,10-01-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6734E+12,11-01-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67348E+12,12-01-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67357E+12,13-01-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67365E+12,14-01-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67374E+12,15-01-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67383E+12,16-01-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67391E+12,17-01-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.674E+12,18-01-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,2040793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67409E+12,19-01-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2481500,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67417E+12,20-01-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2529250,,,,,,,,,,,,,,,,,,,,,,,,,,,,2085060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67426E+12,21-01-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2529250,,,,,,,,,,,,,,,,,,,,,,,,,,,,2085060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67435E+12,22-01-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2529250,,,,,,,,,,,,,,,,,,,,,,,,,,,,2085060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67443E+12,23-01-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2560750,,,,,,,,,,,,,,,,,,,,,,,,,,,,2132124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67452E+12,24-01-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2558750,,,,,,,,,,,,,,,,,,,,,,,,,,,,2120407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6746E+12,25-01-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2558250,,,,,,,,,,,,,,,,,,,,,,,,,,,,2112686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67469E+12,26-01-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2587750,,,,,,,,,,,,,,,,,,,,,,,,,,,,2155416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67478E+12,27-01-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2597250,,,,,,,,,,,,,,,,,,,,,,,,,,,,2177819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67486E+12,28-01-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2597250,,,,,,,,,,,,,,,,,,,,,,,,,,,,2177819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67495E+12,29-01-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2597250,,,,,,,,,,,,,,,,,,,,,,,,,,,,2177819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67504E+12,30-01-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2562250,,,,,,,,,,,,,,,,,,,,,,,,,,,,2131595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67512E+12,31-01-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2599500,,,,,,,,,,,,,,,,,,,,,,,,,,,,2166652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67521E+12,01-02-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2628000,,,,,,,,,,,,,,,,,,,,,,,,,,,,2215554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6753E+12,02-02-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2669250,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67538E+12,03-02-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2640750,,,,,,,,,,,,,,,,,,,,,,,,,,,,2257947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67547E+12,04-02-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2640750,,,,,,,,,,,,,,,,,,,,,,,,,,,,2257947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67556E+12,05-02-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2640750,,,,,,,,,,,,,,,,,,,,,,,,,,,,2257947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67564E+12,06-02-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2624250,,,,,,,,,,,,,,,,,,,,,,,,,,,,2233993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67573E+12,07-02-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2657750,,,,,,,,,,,,,,,,,,,,,,,,,,,,2280553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67581E+12,08-02-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2627750,,,,,,,,,,,,,,,,,,,,,,,,,,,,2238107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6759E+12,09-02-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2604250,,,,,,,,,,,,,,,,,,,,,,,,,,,,2217554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67599E+12,10-02-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2609000,,,,,,,,,,,,,,,,,,,,,,,,,,,,2201225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67607E+12,11-02-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2609000,,,,,,,,,,,,,,,,,,,,,,,,,,,,2201225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67616E+12,12-02-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2609000,,,,,,,,,,,,,,,,,,,,,,,,,,,,2201225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67625E+12,13-02-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2639250,,,,,,,,,,,,,,,,,,,,,,,,,,,,2233297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67633E+12,14-02-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2641750,,,,,,,,,,,,,,,,,,,,,,,,,,,,2249659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67642E+12,15-02-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2653250,,,,,,,,,,,,,,,,,,,,,,,,,,,,2267912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67651E+12,16-02-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2616750,,,,,,,,,,,,,,,,,,,,,,,,,,,,2221243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67659E+12,17-02-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2608750,,,,,,,,,,,,,,,,,,,,,,,,,,,,2205169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67668E+12,18-02-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2608750,,,,,,,,,,,,,,,,,,,,,,,,,,,,2205169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67676E+12,19-02-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2608750,,,,,,,,,,,,,,,,,,,,,,,,,,,,2247138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67685E+12,20-02-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2608750,,,,,,,,,,,,,,,,,,,,,,,,,,,,2247138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67694E+12,21-02-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2556250,,,,,,,,,,,,,,,,,,,,,,,,,,,,2193046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67702E+12,22-02-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2553000,,,,,,,,,,,,,,,,,,,,,,,,,,,,2195001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67711E+12,23-02-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2565959.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,2216393.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6772E+12,24-02-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2537653.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,2683691.621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67728E+12,25-02-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2537653.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,2651478.621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67737E+12,26-02-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2537653.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,2654400.621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67746E+12,27-02-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2546154.442,,,,,,,,,,,,,,,,,,,,,,,,,,,,2699199.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67754E+12,28-02-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2539025.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,2768193.807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67763E+12,01-03-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2526274.928,,,,,,,,,,,,,,,,,,,,,,,,,,,,2801391.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67772E+12,02-03-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2545275.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,2814760.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6778E+12,03-03-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2587275.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,2855260.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67789E+12,04-03-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2587275.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,2862829.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67797E+12,05-03-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2587275.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,2862829.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67806E+12,06-03-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2589525.552,,,,,,,,,,,,,,,,,,,,,,,,,,,,2861566.928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67815E+12,07-03-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2550275.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,2817910.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67823E+12,08-03-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2553750.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800602.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67832E+12,09-03-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2505750.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,2765629.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67841E+12,10-03-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2467750.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,2687054.703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67849E+12,11-03-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2467750.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,2646561.703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67858E+12,12-03-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2467750.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,2646561.703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67867E+12,13-03-2023,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,2466000.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,2666820.928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
